car_model_id,car_type_id,color_id,poster_id,condition_id,km,door_num,seat_num,car_year,price_num,price_words,area
5,3,3,85,1,60000,4,5,2008,555000000,555 Triệu,Hà Nội
5,3,1,53,1,30000,4,5,2016,1000000000,1 Tỷ 499 Triệu,Hà Nội
5,3,1,53,1,15000,4,5,2015,1000000000,1 Tỷ 510 Triệu,Hà Nội
5,3,1,86,1,66000,4,5,2011,629000000,629 Triệu,Hà Nội
5,3,1,87,1,10000,4,5,2006,380000000,380 Triệu,Quảng Ninh
5,3,3,5196,1,30000,4,5,2016,1000000000,1 Tỷ 388 Triệu,TP HCM
6,3,3,15191,1,28000,4,5,2016,1000000000,1 Tỷ 150 Triệu,TP HCM
6,3,1,15120,1,45542,4,5,2016,1000000000,1 Tỷ 160 Triệu,TP HCM
6,3,3,91,1,60000,4,5,2014,790000000,790 Triệu,Hải Phòng
6,3,1,17,1,0,4,5,2012,980000000,980 Triệu,TP HCM
6,3,1,60,1,10000,4,5,2016,1000000000,1 Tỷ 250 Triệu,Hà Nội
6,3,3,16,1,59000,4,5,2015,870000000,870 Triệu,TP HCM
6,3,3,12087,1,39000,4,5,2015,875000000,875 Triệu,TP HCM
6,3,3,93,1,70000,4,5,2010,635000000,635 Triệu,Lâm Đồng
6,3,6,94,1,16000,4,5,2017,1000000000,1 Tỷ 350 Triệu,TP HCM
6,3,10,95,1,70000,5,5,2008,520000000,520 Triệu,Lâm Đồng
6,3,3,3441,1,60000,4,5,2015,870000000,870 Triệu,TP HCM
6,3,1,97,1,70000,4,5,2006,450000000,450 Triệu,TP HCM
6,3,3,98,1,59000,4,5,2015,870000000,870 Triệu,TP HCM
6,3,4,99,1,43256,4,5,2016,1000000000,1 Tỷ 300 Triệu,TP HCM
6,3,1,100,1,70000,5,5,2009,480000000,480 Triệu,TP HCM
6,3,1,9744,1,50000,4,5,2010,580000000,580 Triệu,Hà Nội
6,3,3,101,1,100000,4,5,2010,570000000,570 Triệu,Hà Nội
6,3,6,102,1,0,4,5,2018,1000000000,1 Tỷ 285 Triệu,Tây Ninh
6,3,1,103,1,30000,4,5,2017,1000000000,1 Tỷ 400 Triệu,TP HCM
6,3,3,8601,1,84000,4,5,2010,580000000,580 Triệu,Hà Nội
6,3,3,9592,1,20000,4,5,2016,1000000000,1 Tỷ 300 Triệu,TP HCM
6,3,1,106,1,30000,4,5,2018,1000000000,1 Tỷ 488 Triệu,TP HCM
6,3,1,69,1,55000,4,5,2015,1000000000,1 Tỷ 50 Triệu,TP HCM
6,3,1,107,1,30000,4,5,2017,1000000000,1 Tỷ 550 Triệu,TP HCM
6,3,4,108,1,62000,4,5,2013,698000000,698 Triệu,Hà Nội
6,3,3,109,1,33000,4,5,2018,1000000000,1 Tỷ 350 Triệu,TP HCM
6,3,1,1,1,0,4,5,2016,1000000000,1 Tỷ 280 Triệu,TP HCM
6,3,4,110,1,2700,4,5,2017,1000000000,1 Tỷ 260 Triệu,Hà Nội
7,1,3,53,1,27000,5,7,2016,2000000000,2 Tỷ 640 Triệu,Hà Nội
7,1,1,40,1,90000,5,7,2008,595000000,595 Triệu,Hải Phòng
7,1,4,111,1,0,5,7,2011,1000000000,1 Tỷ 95 Triệu,Hà Nội
7,1,1,112,1,38000,5,7,2016,2000000000,2 Tỷ 480 Triệu,Hà Nội
7,1,3,16182,1,0,5,7,2007,580000000,580 Triệu,TP HCM
7,1,5,114,1,12720,5,7,2007,575000000,575 Triệu,Hà Nội
7,1,3,73,1,29000,5,7,2016,2000000000,2 Tỷ 550 Triệu,TP HCM
7,1,2,14971,1,0,5,7,2007,560000000,560 Triệu,Hà Nội
7,1,1,3980,1,70000,5,7,2016,2000000000,2 Tỷ 450 Triệu,Hà Nội
7,1,3,116,1,0,5,7,2016,2000000000,2 Tỷ 600 Triệu,TP HCM
7,1,3,73,1,22000,5,7,2016,2000000000,2 Tỷ 650 Triệu,TP HCM
7,1,2,15,1,100000,5,7,2007,690000000,690 Triệu,Hà Nội
7,1,1,117,1,80000,5,7,2008,595000000,595 Triệu,Hà Nội
7,1,1,118,1,48000,5,7,2017,2000000000,2 Tỷ 680 Triệu,Hà Nội
7,1,2,119,1,85000,5,7,2007,460000000,460 Triệu,Ninh Bình
7,1,1,17,1,0,5,7,2007,980000000,980 Triệu,TP HCM
7,1,1,14969,1,48000,5,7,2017,2000000000,2 Tỷ 680 Triệu,Hà Nội
7,1,6,3782,1,78000,5,7,2009,690000000,690 Triệu,TP HCM
